Name,Japanese Name,Romanized Name,Official English Name,Debut,Affiliations,Occupations,Status,Birthday,Japanese VA,Funi English VA,Residence,Epithet,Age,Height,Blood Type,Bounty,Odex English VA,4Kids English VA,Origin,Alias,Real name,English Name,Type,Meaning,Size,Weight,First Appearance.1,Age at Death,Zombie Number,First appearance,Region,Gladiator Number,Features,Literal Meaning,Captain,Total Bounty,CP9 key,Affiliation,Completion Date,Affiliates
Sancrin,サンクリン,Sankurin,Thanklin[1],Chapter 557 (Cover); Episode 456[2],Current Unknown; Brook (former); Longarm Tribe's warriors (former),"Thief, Manager (former)",Alive,,,,Kenzan Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandayu,三ダユー,Sandayu,Sandayu,Chapter 928; Episode 921[1],Komurasaki[1],Bodyguard[1],Alive,,,,Wano Country (Flower Capital)[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanji,サンジ,Sanji,Sanji,Chapter 43; Episode 20[1],Straw Hat Pirates;[2]Straw Hat Grand Fleet;Vinsmoke Family (former);[3]Baratie (resigned);[1]Germa Kingdom (defected);[4];Ninja-Pirate-Mink-Samurai Alliance (disbanded),Cook;[1] Pirate;[2] one of the Nine Senior Officers;[5] Sous Chef (former);[1] Prince (former);[3] Cart Vendor (temporary)[6],Alive,March 2nd[16],,,"Baratie (former);[1] Germa Kingdom (former);[3]Momoiro Island (former, temporary)",,19 (debut)[13]21 (after timeskip)[14][15],"177 cm (5'9¾"") (debut)[17]180 cm (5'11¾"") (after timeskip)[18]",S (RH-)[19],,,,North Blue[7],"""Mr. Prince"" (Mr. プリンス, Misutā Purinsu?)[8]""San-gorou""[9] (サン五郎, Sangorō?, English versions: Sangoro)[10][6]""Osoba-mask""[9] (おそばマスク, O-Soba Masuku?, English versions: ""Soba Mask"")[11]",,,,,,,,,,,,,,,,,,,,
Sanjuan Wolf,サンファン・ウルフ,Sanfan Urufu,San Juan Wolf,Chapter 575; Episode 484 (Full)[1],Blackbeard Pirates; Impel Down (former)[1],Pirate; Titanic Captain of the Blackbeard Pirates; Prisoner of the Great Prison (former)[1],Alive,March 2nd[3],,,,,97 (debut)99 (after timeskip)[2],"180 m (590'6"") (maximum)[2]",S[2],,,,West Blue[2],,,,,,,,,,,,,,,,,,,,,
Sapi,サピー,Sapī,Sapee[1],Chapter 98; Episode 51[2],,Fishmonger,Alive,March 22nd[3],,,Loguetown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarahebi,さらへび先生,Sarahebi-sensei,Sarahebi-sensei,Chapter 919; Episode 909[1],Beasts Pirates[2],Gifter;[2] Teacher (former)[1][3],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarfunkel,サーファンクル,Sāfankuru,Sarfunkel,Chapter 620 Cover Page[1],Gaimon[1],,Alive,,,,Island of Rare Animals[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarie Nantokanette,サリー・ナントカネット,Sarī Nantokanetto,Sally Isntoinette,Chapter 823; Episode 777[1],Goa Kingdom,Queen,Alive,July 31st[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarquiss,サーキース,Sākīsu,Sarquiss,Chapter 222; Episode 146[1],Bellamy Pirates[2],Pirate;[2] First Mate[2] (former),Unknown,July 12th[3],,,,,25 (debut)27 (after timeskip)[4],"228 cm (7'6"")[4]",F[4],,,,,,,,,,,,,,,,,,,,,,,,,
Saru,サルウ,Sarū,Salou (VIZ); Saruu (Funimation),Chapter 497; Episode 391[1],Rosward Family,Pet,Alive,March 28th[2],,,Mary Geoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarutobi,猿飛,Sarutobi,Sarutobi[1],Chapter 931; Episode 925[2],Beasts Pirates;[3] Orochi Oniwabanshu (former),Ninja; Pirate,Alive,March 12th[4],,,"Flower Capital, Wano Country",,45[4],"378 cm (12'5"")[5]",F[4],,,,Wano Country[4],,,,,,,,,,,,,,,,,,,,,
Sasaki,ササキ,Sasaki,Sasaki,Chapter 977;[1] Episode 954 (silhouette);[2] Episode 982 (actual)[1],Beasts Pirates (Tobiroppo); Sasaki Pirates (former)[3],Shinuchi; Pirate; Captain  (former)[4],Alive,February 3rd[3],,,,,34[5],"318 cm (10'5"")[5]",XF[3],,,,Grand Line[3],,,,,,,,,,,,,,,,,,,,,
Satori,サトリ,Satori,Satori,Chapter 241; Episode 155[1],God's Army[1],Priest of Enel[1],Alive,March 10th[3],,,,,25 (debut)27 (after timeskip)[4],"179 cm (5'10"")[4]",S[4],,,,Sky Islands (Birka)[4],,,,,,,,,,,,,,,,,,,,,
Sauce,ソース,Sōsu,N/A,Chapter 906; Episode 884[1],Levely[2],King[2],Alive,,,,Jambalaya Kingdom[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarlett,スカーレット,Sukāretto,Scarlet,Chapter 721;[1] Episode 650[2],Riku Family,Princess (former)[3],Deceased,October 28th[4],,,,,,,,,,,,,,,,,,,,25[3],,,,,,,,,,,,
Schollzo,ショルゾウ,Shoruzō,N/A,Chapter 325; Episode 231[1],Franky Family[1],Dismantler; Bounty Hunter[1],Alive,,,,Water 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scientist,科学者,Kagakusha,Scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scopper Gaban,スコッパー・ギャバン,Sukoppā Gyaban,Scopper Gaban,Chapter 19;[1] Episode 0[2],Roger Pirates (former)[1],Pirate[1],Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotch,スコッチ,Sukotchi,Scotch,Chapter 595; Episode 513[1],Beasts Pirates[1],Pirate[1],Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scratchmen Apoo,スクラッチメン・アプー,Sukuratchimen Apū,Scratchmen Apoo,Chapter 498; Episode 392[1],On Air Pirates[1]; Beasts Pirates[2],Pirate; Captain; Musician;[1] Informant[3],Alive,March 19th[6][7],,,,,29 (debut)[4]31 (after timeskip)[5],"256 cm (8'5½"") (debut, after timeskip)[4]",XF[8],,,,Grand Line,,,,,,,,,,,,,,,,,,,,,
Seagull Guns Nozdon,シーガル・ガンズ・ノズドン,Shīgaru Ganzu Nozudon,Seagull Ganz Nozudon[1],Chapter 0; Episode 0[2],Roger Pirates (former)[2],Pirate[2],Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seamars,シーマーズ,Shīmāzu,N/A,Chapter 440 cover page[1],Space Pirates[1],"Captain, Pirate[2]",Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seira,セイラ,Seira,Seira,Chapter 608; Episode 527[1],Mermaid Cafe,Dancer,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seki,セキ,Seki,Seki,Chapter 908; Episode 884[1],Levely[1],King[1] (former)[2],Unknown,,,,Lulusia Kingdom[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sengoku,センゴク,Sengoku,Sengoku,Chapter 234; Episode 151[1],Marines[2] (semi-retired)[3],Inspector General;[4] Fleet Admiral[2] (former);[5] Admiral (former)[6],Alive,May 9th[10],,,,,77 (debut)79 (after timeskip)[9],"278 cm (9'1"")[7]",F[7],,,,South Blue[7],,,,,,,,,,,,,,,,,,,,,
Senor Pink,セニョール・ピンク,Senyōru Pinku,Señor Pink,Chapter 702; Episode 632 [1],Donquixote Pirates[1],Pirate Officer;[1] Assassin[2],Alive,June 12th (Lover's Day)[4],,,Spider Miles (former); Dressrosa (former),,46[3],"244 cm (8'0"")[2]",X[2],,,,North Blue[2],,,,,,,,,,,,,,,,,,,,,
Sentomaru,戦桃丸（せんとうまる）,Sentōmaru,Sentomaru,Chapter 497; Episode 401[1],Marines,Marine Officer; Dr. Vegapunk's bodyguard[2],Alive,March 10th[3],,,,,32 (debut)34 (after timeskip)[4],"279 cm (9'1"")[4]",F[4],,,,Grand Line[4],,,,,,,,,,,,,,,,,,,,,
Serizawa,セリザワ,Serizawa,N/A,Chapter 915 (cover)[1],,Dyer; Instructor,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seto,セト,Seto,Seto,Chapter 287; Episode 187[1],Shandia,,Deceased,July 16th [2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shachi,シャチ,Shachi,Shachi,Chapter 498; Episode 392[1],Heart Pirates[1],Pirate[1],Alive,April 7th[3],,,Swallow Island (former)[2],,25 (debut)27 (after timeskip)[2],,X[4],,,,,,,,,,,,,,,,,,,,,,,,,
Shakuyaku,シャクヤク,Shakuyaku,Shakuyaku,Chapter 498; Episode 392[1],Shakky's Rip-off Bar;[1] Kuja; Kuja Pirates (former)[2],Bartender; Pirate; Captain  (former); Empress of Amazon Lily (former)[2],Alive,May 8th[4],,,Sabaody Archipelago,,62 (debut)64 (after timeskip)[3],"186 cm (6'1"")[3]",X[3],,,,Calm Belt (Amazon Lily)[2],"""Shakky"" (シャッキー, Shakkī?)[1]",,,,,,,,,,,,,,,,,,,,
Shalria,シャルリア宮,Sharuria Gū,Saint Shalria,Chapter 497; Episode 391[1],World Government[1],World Noble[1],Alive,March 29th[3],,,Mary Geoise[1],,15 (debut)17 (after timeskip)[2],"178 cm (5'10"")[2]",XF[2],,,,Grand Line (Mary Geoise)[2],,,,,,,,,,,,,,,,,,,,,
Sham,シャム,Shamu,Siam,Chapter 31; Episode 13[1],Black Cat Pirates[1],Pirate Officer;[2] Ship Guard[1],Alive,April 19th[3][2],,,,,21 (debut)23 (after timeskip)[2],"201 cm (6'7"")[2]",X[2],,,,,,,,,,,,,,,,,,,,,,,,,
Shanba,シャンバ,Shanba,Shamba[1],"Chapter 524, Episode 419[2]",Torino Kingdom,,Alive,November 8th[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandia Chief,シャンディア酋長,Shandia Shūchō,Shandia Chief,Chapter 275; Episode 168[1],Shandia,Chief of Shandia,Alive,October 4th[2],,,,,63 (debut)65 (after timeskip)[2],"179 cm (5'10"")[2]",X[2],,,,Sky Islands (Skypiea)[2],,,,,,,,,,,,,,,,,,,,,
Shanks,シャンクス,Shankusu,Shanks,Chapter 1; Episode 4[1],Red Hair Pirates;[2] Four Emperors;[3] Roger Pirates (former)[4],Pirate; Chief;[5] Emperor;[3] Apprentice (former)[4],Alive,March 9th[8],,,,,27 (debut); 37 (pre-timeskip);[6] 39 (post-timeskip)[7],"199 cm (6'6½"")[9]",XF[9],,,,West Blue[9],,,,,,,,,,,,,,,,,,,,,
Sharinguru,シャリングル,Sharinguru,Sharingle,Chapter 428; Episode 310[1],Marines[1],Marine Captain[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheepshead,シープスヘッド,Shīpusuheddo,Sheepshead,Chapter 795; Episode 739[1],Beasts Pirates[1],"Shinuchi of the Gifters (ギフターズ真打ち, Gifutāzu Shin'uchi?)[2]",Unknown,June 6th[3],,,,,24[3],"293 cm  (9'7"")[3]",F[3],,,,Grand Line[3],,,,,,,,,,,,,,,,,,,,,
Shelly,シェリー,Sherī,Sherry (Viz); Shelly (FUNimation),Chapter 304; Episode 207[1],Nomads,Pet,Alive,October 31st[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiki,シキ,Shiki,Shiki,Chapter 0; Chapter 530 (mentioned); Episode 425;[1] Movie 10[2],Golden Lion Pirates; Rocks Pirates (former);[3] Impel Down (former),Pirate; Captain/Admiral; Prisoner of the Great Prison (former)[1],Unknown,March 20th[4],,,Merveille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shimotsuki Kozaburo,霜月コウ三郎,Shimotsuki Kōzaburō,Shimotsuki Kozaburo,Chapter 1033[1],,Swordsmith[2],Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shimotsuki Ryuma,霜月リューマ,Shimotsuki Ryūma,Shimotsuki Ryuma,Monsters (Wanted!); Chapter 448; Episode 342[1],Thriller Bark Pirates; Wano Country (prior to death); Shimotsuki Family,General Zombie; Samurai (prior to death),Deceased,November 6th[5],,,Wano Country (prior to death); Thriller Bark (Post-Mortem),,,"179 cm (5'10"")[2]",XF[2],,,,Grand Line (Wano Country)[2],,,,,,,,,47[2],,,,,,,,,,,,
Shimotsuki Ushimaru,霜月牛マル,Shimotsuki Ushimaru,Shimotsuki Ushimaru,Chapter 953; Episode 954[1],,Daimyo of Ringo[1]; Samurai,Deceased,,,,Wano Country (Ringo)[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shimotsuki Yasuie,霜月康イエ,Shimotsuki Yasuie,Shimotsuki Yasuie,Chapter 929;[1] Episode 916,,Taikomochi;[1] Daimyo (former)[2],Deceased,April 2nd[3],,,Ebisu Town;[1]Hakumai (former),,,"155 cm (5'1"")[3]",F[3],,,,,"""Tonoyasu"" (トの康, Tonoyasu?)[1]",,,,,,,,71[3],,,,,,,,,,,,
Shin Detamaruka,シン・デタマルカ,Shin Detamaruka,Stella Live,Chapter 785; Episode 727[1],,Dancer (former)[2],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shin Jaiya,シン・ジャイヤ,Shin Jaiya,Staya Live,Chapter 785; Episode 727[1],,,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shine,シャイン,Shain,Shine,Chapter 214; Episode 128[1],Marines[1],Chief Petty Officer[2],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shinobu,しのぶ,Shinobu,Shinobu,Chapter 921; Episode 911[1],Kozuki Family[2],Kunoichi; Retainer of the Kozuki Family,Alive,October 23rd[5],,,"Kuri, Wano Country[1]",,49[5],"180 cm (5'11"")[4]",F[5],,,,Grand Line (Wano Country),,,,,,,,,,,,,,,,,,,,,
Shinosuke,忍助,Shinosuke,N/A,Chapter 955; Episode 956[1],Kozuki Family,Ninja,Alive,,,,Wano Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shion,シオン,Shion,Shion,N/A,Kuja Tribe[1],Warrior[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shioyaki,シオヤキ,Shioyaki,Saltgrill[1],Chapter 75; Episode 33[2],Arlong Pirates[2],Pirate [2]; Head of Banquets[3],Alive,March 27th[4],,,,,,,,,,,"Grand Line (Ryugu Kingdom, Fish-Man Island)[4]",,,,,,,,,,,,,,,,,,,,,
Shirahoshi,しらほし,Shirahoshi,Shirahoshi,Chapter 612; Episode 531[1],Neptune Family; Ryugu Kingdom[2],Princess of the Ryugu Kingdom[2],Alive,April 4th[6],,,,,16[5],"1187 cm (38'11"")[7]",X[7],,,,Grand Line (Ryugu Kingdom)[7],"""Poseidon"" (ポセイドン, Poseidon?)[3]",,,,,,,,,,,,,,,,,,,,
Shiruton Doruyanaika,シルトン・ドルヤナイカ,Shiruton Doruyanaika,Broth Splatterina,SBS Volume 87 (Mentioned)[1],,,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiryu,シリュウ,Shiryū,Shiryu[1],Chapter 538; Episode 440[1],Blackbeard Pirates;[2][3] Impel Down[4] (former)[1],Pirate;[2][3] one of the Ten Titanic Captains; Captain of the Second Ship;[5] Head Jailer (former);[1][4] Prisoner of the Great Prison[1] (former)[4],Alive,June 11th[6],,,,,42 (debut)44 (after timeskip)[7],"340 cm (11'2"")[7]",X[7],,,,Grand Line[7],,,,,,,,,,,,,,,,,,,,,
Shishilian,シシリアン,Shishirian,Shishilian,Chapter 808; Episode 758[1],Mokomo Dukedom; Inuarashi Musketeer Squad[2]; Ninja-Pirate-Mink-Samurai Alliance,Captain of the Musketeers[2],Alive,April 4th[3],,,"Kurau City, Zou",,34[3],"196 cm (6'5"")[3]",XF[3],,,,Grand Line (Mokomo Dukedom)[3],,,,,,,,,,,,,,,,,,,,,
Shoujou,ショウジョウ,Shōjō,Shojoe (4Kids);Shoujou (Viz);Shojo (Funimation),Chapter 226; Episode 147[1],Saruyama Alliance (Shoujou Pirates)[1],Pirate; Captain[1],Alive,May 8th[3],,,Jaya,,25[2] (debut);27 (after timeskip),"351 cm (11'6"")[3]",X[3],,,,South Blue[3],,,,,,,,,,,,,,,,,,,,,
Shu,シュウ,Shū,Shu,Chapter 426; Episode 309[1],Marines[1],Marine Captain[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shura,シュラ,Shura,Shura,Chapter 241; Episode 155[1],God's Army[1][2],Priest of Enel[1][2],Alive,September 20th[4],,,,,31 (debut)33 (after timeskip)[3],"191 cm (6'3"")[3]",S[3],,,,Sky Islands (Birka)[3],,,,,,,,,,,,,,,,,,,,,
Shyarly,シャーリー,Shārī,Sharley,Chapter 610; Episode 529[1],Mermaid Cafe[2],Proprietor of the Mermaid Cafe;[2] Fortune teller (former)[3],Alive,September 9th[6],,,,,29[5],"520 cm (17'1"")[4]",XF[4],,,,Grand Line (Ryugu Kingdom)[4],,,,,,,,,,,,,,,,,,,,,
Sicily,シシリー,Shishirī,N/A,Chapter 504[1],Marines[1],Rear Admiral,Alive,June 5th[2],,,,,,,,,,,South Blue[2],,,,,,,,,,,,,,,,,,,,,
Silvers Rayleigh,シルバーズ・レイリー,Shirubāzu Reirī,Silvers Rayleigh,Chapter 19; Episode 8[1],Roger Pirates (former)[2][3],Coating Mechanic (current); First Mate (former);[2][3] Pirate (former)[1][3],Alive,May 13th[6],,,Sabaody Archipelago,,76 (debut)78 (after timeskip)[5],"188 cm (6'2"")[7]",XF[7],,,,,,,,,,,,,,,,,,,,,,,,,
Sind,シンド,Shindo,Synd,Chapter 657; Episode 582[1],,,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skull,スカル,Sukaru,Skull,Chapter 552; Episode 461[1],"Spade Pirates,[1] Whitebeard Pirates",Pirate[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleepy,スリーピー,Surīpī,N/A,One Piece Green: Secret Pieces (sketch)[1],Ally of the Whitebeard Pirates[1],Pirate; Captain[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smiley,スマイリー,Sumairī,Smiley,Chapter 668; Episode 594[1],Caesar Clown,"Pet, Bio-Chemical weapon of mass destruction",Deceased,July 18th[3],,,,,,,,,,,,,,,,,150m (492') by estimate[4],,,4[2],,,,,,,,,,,,
Smoker,スモーカー,Sumōkā,"Smoker (VIZ, Funimation),Chaser (4Kids)",Chapter 97; Episode 48[1],Marines; G-5;[2] Loguetown Marine Base (former)[3],Vice Admiral;[2] Commodore (former);[4] Captain (former)[1],Alive,March 14th[5],,,Loguetown (former),,34 (debut)[5]36 (after timeskip)[6],"209 cm (6'10"")[7]",XF[7],,,,Grand Line[7],,,,,,,,,,,,,,,,,,,,,
Smooge,スムージ,Sumūji,Smoothy (Viz);Smoothie (Funimation),Chapter 668;[1] Episode 592,Caesar Clown,,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snakeman,スネークマン,Sunēkuman,N/A,Chapter 916; Episode 904[1],Beasts Pirates[1],Gifter[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodom,ソドム,Sodomu,"Sodomu (VIZ),Sodom  (FUNimation)",Chapter 366; Episode 256,Franky Family,Transportation,Alive,August 6th[1],,,Water 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solitaire,ソリティア,Soritia,Solitaire,Chapter 935; Episode 930[1],Beasts Pirates[1],Shinuchi; Vice Warden of the Prisoner Mine[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some,お染,O-Some,Osome,Chapter 1031[1],,Geisha[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonieh,ソニエ,Sonie,Sonie,Chapter 318[1],Foxy Pirates[1],Pirate; Shipwright[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sora,ソラ,Sora,Sola[1],Chapter 608; Episode 527[2],Mermaid Cafe,Dancer,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soro,ソーロ,Sōro,Solo[1],Chapter 3; Episode 2[2],Helmeppo,Pet,Deceased,November 11th[3],,,Shells Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spacey,スペーシー中尉,Supēshī Chūi,Spacey,Chapter 433 cover page[1],Automata[1],First Lieutenant,Alive,March 21st[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spandam,スパンダム,Supandamu,Spandam,Chapter 355; Episode 249[1],CP0;[2] CP9[3] (former); CP5 (former)[1][4],CP0;[2] CP9 Chief (former);[3] CP5 Chief (former)[1],Alive,March 11th[7],,,,,39 (debut)[5]41 (after timeskip)[6],"192 cm (6'3½"")[8]",XF[8],,,,Grand Line[8],,,,,,,,,,,,,,,,,,,,,
Spandine,スパンダイン,Supandain,Spandine,Chapter 392; Episode 275[1],CP9 (former)[1],CP9 Chief (former)[1],Alive,January 19th[3],,,,,64 (debut)66 (after timeskip)[2],"275 cm (9'0"")[2]",XF[2],,,,Grand Line[2],,,,,,,,,,,,,,,,,,,,,
Spartan,スパルタン,Suparutan,Spartan,Chapter 703; Episode 633[1],Corrida Colosseum[1],Gladiator[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spector,スペクトル,Supekutoru,N/A,Chapter 223; Episode 146[1],,Hotel owner[1],Alive,,,,Mock Town[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,スピード,Supīdo,Speed,Chapter 917; Episode 904[1],Beasts Pirates (former);[2] Tama[3],Shinuchi[2],Alive,December 11th[4],,,,,24[4],"298 cm (9'3"")[4]",X[4],,,,Wano Country[4],,,,,,,,,,,,,,,,,,,,,
Speed Jiru,スピード・ジル,Supīdo Jiru,Speed Jil,Chapter 553; Episode 461[1],Whitebeard Pirates[1],14th Division Commander; Pirate[1],Alive,April 6th[2],,,,,,,,,,,East Blue[3],,,,,,,,,,,,,,,,,,,,,
Spencer,スペンサー,Supensā,Spencer,Chapter 966[1]; Episode 959[2],Roger Pirates,Pirate,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphinx,スフィンクス,Sufinkusu,Sphinx,Chapter 529; Episode 430[1],"World Government, Impel Down[1]",Level 2 Guardian[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Splash and Splatter,スプラッシュとスプラッタ,Supurasshu to Supuratta,Splash and Splatta,Chapter 610; Episode 529,,Pirates,Alive,January 18th[2],,,,,,,S (RH-)[1],,,,,,,,,,,,,,,,,,,,,,,,,
Spoil,スポイル,Supoiru,Spoil,Chapter 448; Episode 343[1],Thriller Bark Victim's Association[1],Chairman of Thriller Bark Victim's Association[1],Alive,September 15th[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squard,スクアード,Sukuādo,Squard,Chapter 551; Episode 460[1],Maelstrom Spider Pirates; Whitebeard Pirates[1],Pirate; Captain[1],Alive,September 6th[2],,,,,50 (debut);52 (after timeskip)[3],"228 cm (7'5"")[3]",F[3],,,,Grand Line[3],,,,,,,,,,,,,,,,,,,,,
Stainless,ステンレス,Sutenresu,N/A,Chapter 96;[1] Episode 151[2],Marines[1],Vice Admiral,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stalker,ストーカー,Sutōkā,Stalker,Chapter 524; Episode 421[1],Marines G-1 Branch[1],Marine Lieutenant Junior Grade,Alive,September 28th[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stansen,スタンセン,Sutansen,Stansen,Chapter 500; Episode 394[1],New Giant Warrior Pirates; Straw Hat Grand Fleet; Buggy's Delivery (former)[2],Pirate; Shipwright; Mercenary (former);[2] Slave (former),Alive,May 27th[3],,,Elbaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefan,ステファン,Sutefan,Stephen,SBS Volume 58[1],Whitebeard Pirates[1],Pet,Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterry,ステリー,Suterī,Stelly,Chapter 586; Episode 500[1],Goa Kingdom,King of the Goa Kingdom; Noble (former),Alive,March 12th[3],,,,,8 (debut)[1]20 (currently)[2],"180 cm (5'11"")[2]",S[2],,,,,,,,,,,,,,,,,,,,,,,,,
Stevie,ステイビー,Suteibī,Staybe[1],Chapter 361; Episode 251[2],Water 7[2],Station Manager[2],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strawberry,ストロベリー,Sutoroberī,N/A,Chapter 420; Episode 302[1],Marines[1],Vice Admiral; Rear Admiral (former)[2],Alive,January 5th[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streusen,シュトロイゼン,Shutoroizen,Streusen,Chapter 858; Episode 827[1],Big Mom Pirates[1],Executive Chef;[1] Pirate[2],Alive,April 27th[4],,,Whole Cake Island[1],,92[3],"140 cm (4'7"")[3]",S[3],,,,Grand Line[3],,,,,,,,,,,,,,,,,,,,,
Stroganoff,ストロガノフ,Sutoroganofu,N/A,Chapter 908; Episode 886[1],Levely[1],King[1],Alive,,,,Beef Kingdom[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stronger,ストロンガー,Sutorongā,Strongheart (Viz); Stronger (FUNimation),Chapter 223; Episode 146[1],Blackbeard Pirates[1],Doc Q's horse; Pet[1],Alive,April 16th[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stussy,ステューシー,Sutyūshī,Stussy,Chapter 860; Episode 828[1],CP0;[2] Underworld[1],Cipher Pol Agent;[2] Empress of the Underworld[1],Alive,April 24th[4],,,,,Secret[3],"179 cm (5'10"")[3]",S[3],,,,Grand Line[3],,,,,,,,,,,,,,,,,,,,,
Su,スー,Sū,Su,Chapter 239; Episode 154[1],Skypiea,Pet,Alive,September 24th[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugamichi and Warazane,スガミチ; ワラザネ,Sugamichi; Warazane,N/A,Chapter 931; Episode 925[1],Fujin and Raijin[1],,Alive,,,,Wano Country (Flower Capital)[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar,シュガー,Shugā,Sugar,Chapter 682; Episode 608[1],Donquixote Pirates[1],Pirate Special Officer[2],Alive,October 22nd[4],,,Dressrosa (former),,22[3],"110 cm (3'7½"")[5]",XF[5],,,,North Blue[5],,,,,,,,,,,,,,,,,,,,,
Suke,スケさん,Suke-san,Suke,Chapter 927; Episode 919[1],Kyoshiro Family[1],,Alive,,,,Wano Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sukoshiba Kanishitoru,スコシバ・カニシトール,Sukoshiba Kanishitōru,Loki Clownin,Chapter 536; Episode 437[1],,Impel Down Guard[1],Alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suleiman,スレイマン,Sureiman,Suleiman,Chapter 704;[1] Episode 632[2],Beautiful Pirates[3]; Underworld (former);Straw Hat Grand Fleet,Pirate;[3] War Criminal; Mercenary (former)[citation needed],Alive,January 30th[4],,,,,40[5],"240 cm (7'10½"")[5]",S[5],,,,South Blue[5],,,,,,,,,,,,,,,,,,,,,
Sunbell,サンベル,Sanberu,Sambel,Chapter 0; Episode 0[1],Roger Pirates,Pirate,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Spot-Billed Duck Troops,超カルガモ部隊,Chō Karugamo Butai,Supersonic Duck Squadron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabasta,,
